response,set,sheet
A giant powdery manbaby.,CAH: Blue Box Expansion,CAH Expansions
A hopeless amount of spiders.,CAH: Blue Box Expansion,CAH Expansions
A horse with no legs.,CAH: Blue Box Expansion,CAH Expansions
A kiss on the lips.,CAH: Blue Box Expansion,CAH Expansions
A lil’ stupid ass bitch.,CAH: Blue Box Expansion,CAH Expansions
A man who is so cool that he rides on a motorcycle.,CAH: Blue Box Expansion,CAH Expansions
A manhole.,CAH: Blue Box Expansion,CAH Expansions
A mouthful of potato salad.,CAH: Blue Box Expansion,CAH Expansions
A Native American who solves crimes by going into the spirit world.,CAH: Blue Box Expansion,CAH Expansions
"A one-way ticket to Gary, Indiana.",CAH: Blue Box Expansion,CAH Expansions
A peyote-fueled vision quest.,CAH: Blue Box Expansion,CAH Expansions
A pizza guy who fucked up.,CAH: Blue Box Expansion,CAH Expansions
A possible Muslim.,CAH: Blue Box Expansion,CAH Expansions
A reason not to commit suicide.,CAH: Blue Box Expansion,CAH Expansions
A self-microwaving burrito.,CAH: Blue Box Expansion,CAH Expansions
A sex comet from Neptune that plunges the Earth into eternal sexiness.,CAH: Blue Box Expansion,CAH Expansions
A sex goblin with a carnival penis.,CAH: Blue Box Expansion,CAH Expansions
A shiny rock that proves I love you.,CAH: Blue Box Expansion,CAH Expansions
A team of lawyers.,CAH: Blue Box Expansion,CAH Expansions
A thrilling chase over the rooftops of Rio de Janeiro.,CAH: Blue Box Expansion,CAH Expansions
A turd.,CAH: Blue Box Expansion,CAH Expansions
A Ugandan warlord.,CAH: Blue Box Expansion,CAH Expansions
A whole lotta woman.,CAH: Blue Box Expansion,CAH Expansions
A whole new kind of porn.,CAH: Blue Box Expansion,CAH Expansions
A woman.,CAH: Blue Box Expansion,CAH Expansions
"A zero-risk way to make $2,000 from home.",CAH: Blue Box Expansion,CAH Expansions
Actual mutants with medical conditions and no superpowers.,CAH: Blue Box Expansion,CAH Expansions
Africa.,CAH: Blue Box Expansion,CAH Expansions
AIDS monkeys.,CAH: Blue Box Expansion,CAH Expansions
All the single ladies.,CAH: Blue Box Expansion,CAH Expansions
All these decorative pillows.,CAH: Blue Box Expansion,CAH Expansions
Almost giving money to a homeless person.,CAH: Blue Box Expansion,CAH Expansions
Ambiguous sarcasm.,CAH: Blue Box Expansion,CAH Expansions
An inability to form meaningful relationships.,CAH: Blue Box Expansion,CAH Expansions
An interracial handshake.,CAH: Blue Box Expansion,CAH Expansions
An oppressed people with a vibrant culture.,CAH: Blue Box Expansion,CAH Expansions
An overwhelming variety of cheeses.,CAH: Blue Box Expansion,CAH Expansions
An unforgettable quinceañera.,CAH: Blue Box Expansion,CAH Expansions
An uninterrupted history of imperialism and exploitation.,CAH: Blue Box Expansion,CAH Expansions
Anal fissures like you wouldn't believe.,CAH: Blue Box Expansion,CAH Expansions
Ancient Athenian boy-fucking.,CAH: Blue Box Expansion,CAH Expansions
Angelheaded hipsters burning for the ancient heavenly connection to the starry dynamo in the machinery of night.,CAH: Blue Box Expansion,CAH Expansions
Ass to mouth.,CAH: Blue Box Expansion,CAH Expansions
Backwards knees.,CAH: Blue Box Expansion,CAH Expansions
Bathing in moonsblood and dancing around the ancient oak.,CAH: Blue Box Expansion,CAH Expansions
Being a terrible mother.,CAH: Blue Box Expansion,CAH Expansions
Being John Malkovich.,CAH: Blue Box Expansion,CAH Expansions
Being nine years old.,CAH: Blue Box Expansion,CAH Expansions
Being paralyzed from the neck down.,CAH: Blue Box Expansion,CAH Expansions
Being popular and good at sports.,CAH: Blue Box Expansion,CAH Expansions
Being worshipped as the one true God.,CAH: Blue Box Expansion,CAH Expansions
Beloved television star Bill Cosby.,CAH: Blue Box Expansion,CAH Expansions
Blackface.,CAH: Blue Box Expansion,CAH Expansions
Blackula.,CAH: Blue Box Expansion,CAH Expansions
Blowjobs for everyone.,CAH: Blue Box Expansion,CAH Expansions
Boring Vaginal sex.,CAH: Blue Box Expansion,CAH Expansions
Bouncing up and down.,CAH: Blue Box Expansion,CAH Expansions
Breastfeeding a ten year old.,CAH: Blue Box Expansion,CAH Expansions
Breastfeeding a ten-year-old.,CAH: Blue Box Expansion,CAH Expansions
Bullets.,CAH: Blue Box Expansion,CAH Expansions
Butt stuff.,CAH: Blue Box Expansion,CAH Expansions
Calculating every mannerism so as not to suggest homosexuality.,CAH: Blue Box Expansion,CAH Expansions
Cancer.,CAH: Blue Box Expansion,CAH Expansions
Changing a person's mind with logic and facts.,CAH: Blue Box Expansion,CAH Expansions
Child Protective Services.,CAH: Blue Box Expansion,CAH Expansions
Child support payments.,CAH: Blue Box Expansion,CAH Expansions
Common-sense gun control legislation.,CAH: Blue Box Expansion,CAH Expansions
"Cool, relatable cancer teens.",CAH: Blue Box Expansion,CAH Expansions
Crazy opium eyes.,CAH: Blue Box Expansion,CAH Expansions
Crippling social anxiety.,CAH: Blue Box Expansion,CAH Expansions
Crying and shitting and eating spaghetti.,CAH: Blue Box Expansion,CAH Expansions
Cute boys.,CAH: Blue Box Expansion,CAH Expansions
Cutting off a flamingo's legs with garden shears.,CAH: Blue Box Expansion,CAH Expansions
Daddy.,CAH: Blue Box Expansion,CAH Expansions
Daddy's credit card.,CAH: Blue Box Expansion,CAH Expansions
Deez nuts.,CAH: Blue Box Expansion,CAH Expansions
Dem titties.,CAH: Blue Box Expansion,CAH Expansions
Depression.,CAH: Blue Box Expansion,CAH Expansions
Doing the right stuff to her nipples.,CAH: Blue Box Expansion,CAH Expansions
Doo-doo.,CAH: Blue Box Expansion,CAH Expansions
Drinking responsibly.,CAH: Blue Box Expansion,CAH Expansions
Eating together like a god damn family for once.,CAH: Blue Box Expansion,CAH Expansions
Eggs.,CAH: Blue Box Expansion,CAH Expansions
Ejaculating inside another man's wife.,CAH: Blue Box Expansion,CAH Expansions
Ejaculating live bees and the bees are angry.,CAH: Blue Box Expansion,CAH Expansions
Ennui.,CAH: Blue Box Expansion,CAH Expansions
Every ounce of charisma left in Mick Jagger's tired body.,CAH: Blue Box Expansion,CAH Expansions
Exploding pigeons.,CAH: Blue Box Expansion,CAH Expansions
Falling into the toilet.,CAH: Blue Box Expansion,CAH Expansions
Figuring out how to have sex with a dolphin.,CAH: Blue Box Expansion,CAH Expansions
Filling a man's anus with concrete.,CAH: Blue Box Expansion,CAH Expansions
Finally finishing off the Indians.,CAH: Blue Box Expansion,CAH Expansions
"Free ice cream, yo.",CAH: Blue Box Expansion,CAH Expansions
Fresh dill from the patio.,CAH: Blue Box Expansion,CAH Expansions
Fucking a corpse back to life.,CAH: Blue Box Expansion,CAH Expansions
Generally having no idea what's going on.,CAH: Blue Box Expansion,CAH Expansions
Genghis Khan's DNA.,CAH: Blue Box Expansion,CAH Expansions
Getting all offended.,CAH: Blue Box Expansion,CAH Expansions
Getting caught by the police and going to jail.,CAH: Blue Box Expansion,CAH Expansions
Getting down to business to defeat the Huns.,CAH: Blue Box Expansion,CAH Expansions
Getting drive-by shot.,CAH: Blue Box Expansion,CAH Expansions
Getting eaten alive by Guy Fieri.,CAH: Blue Box Expansion,CAH Expansions
Getting offended.,CAH: Blue Box Expansion,CAH Expansions
Getting shot by the police.,CAH: Blue Box Expansion,CAH Expansions
Getting shot out of a cannon.,CAH: Blue Box Expansion,CAH Expansions
Giant sperm from outer space.,CAH: Blue Box Expansion,CAH Expansions
"Going down on a woman, discovering that her vagina is filled with eyeballs, and being totally into that.",CAH: Blue Box Expansion,CAH Expansions
Going inside at some point because of the mosquitoes.,CAH: Blue Box Expansion,CAH Expansions
Going to a high school reunion on ketamine.,CAH: Blue Box Expansion,CAH Expansions
Grammar nazis who are also regular Nazis.,CAH: Blue Box Expansion,CAH Expansions
Growing up chained to a radiator in perpetual darkness.,CAH: Blue Box Expansion,CAH Expansions
Gwyneth Paltrow's opinions.,CAH: Blue Box Expansion,CAH Expansions
Having been dead for a while.,CAH: Blue Box Expansion,CAH Expansions
How awesome I am.,CAH: Blue Box Expansion,CAH Expansions
Immortality cream.,CAH: Blue Box Expansion,CAH Expansions
Important news about Taylor Swift.,CAH: Blue Box Expansion,CAH Expansions
Injecting speed into one arm and horse tranquilizer into the other.,CAH: Blue Box Expansion,CAH Expansions
Interspecies marriage.,CAH: Blue Box Expansion,CAH Expansions
Irrefutable evidence that God is real.,CAH: Blue Box Expansion,CAH Expansions
Jizz.,CAH: Blue Box Expansion,CAH Expansions
Kale.,CAH: Blue Box Expansion,CAH Expansions
Khakis.,CAH: Blue Box Expansion,CAH Expansions
Letting out 20 years’ worth of farts.,CAH: Blue Box Expansion,CAH Expansions
Like a million alligators.,CAH: Blue Box Expansion,CAH Expansions
Lots and lots of abortions.,CAH: Blue Box Expansion,CAH Expansions
Meaningless sex.,CAH: Blue Box Expansion,CAH Expansions
Mediocrity.,CAH: Blue Box Expansion,CAH Expansions
Moderate-to-severe joint pain.,CAH: Blue Box Expansion,CAH Expansions
Mom's new boyfriend.,CAH: Blue Box Expansion,CAH Expansions
Morpheus.,CAH: Blue Box Expansion,CAH Expansions
My boyfriend's stupid penis.,CAH: Blue Box Expansion,CAH Expansions
My dad's dumb fucking face.,CAH: Blue Box Expansion,CAH Expansions
My dead son's baseball glove.,CAH: Blue Box Expansion,CAH Expansions
My first period.,CAH: Blue Box Expansion,CAH Expansions
My sex dungeon.,CAH: Blue Box Expansion,CAH Expansions
My worthless son.,CAH: Blue Box Expansion,CAH Expansions
Neil Diamond's Greatest Hits.,CAH: Blue Box Expansion,CAH Expansions
Never having sex again.,CAH: Blue Box Expansion,CAH Expansions
"No clothes on, penis in vagina.",CAH: Blue Box Expansion,CAH Expansions
No longer finding any Cards Against Humanity card funny.,CAH: Blue Box Expansion,CAH Expansions
Not believing in giraffes.,CAH: Blue Box Expansion,CAH Expansions
Oil!,CAH: Blue Box Expansion,CAH Expansions
One unforgettable night of passion.,CAH: Blue Box Expansion,CAH Expansions
Our new Buffalo Chicken Dippers®!,CAH: Blue Box Expansion,CAH Expansions
Out-of-this-world bazongas.,CAH: Blue Box Expansion,CAH Expansions
"Owls, the perfect predator.",CAH: Blue Box Expansion,CAH Expansions
P.F. Chang himself.,CAH: Blue Box Expansion,CAH Expansions
Party Mexicans.,CAH: Blue Box Expansion,CAH Expansions
Peeing into a girl's butt to make a baby.,CAH: Blue Box Expansion,CAH Expansions
Potato.,CAH: Blue Box Expansion,CAH Expansions
"Prince Ali, fabulous he, Ali Ababwa.",CAH: Blue Box Expansion,CAH Expansions
Pussy.,CAH: Blue Box Expansion,CAH Expansions
Rabies.,CAH: Blue Box Expansion,CAH Expansions
Reading the entire End-User License Agreement.,CAH: Blue Box Expansion,CAH Expansions
Ripping a dog in half.,CAH: Blue Box Expansion,CAH Expansions
Robots who just want to party.,CAH: Blue Box Expansion,CAH Expansions
Russian super-tuberculosis.,CAH: Blue Box Expansion,CAH Expansions
Seeing my village burned and my family slaughtered before my eyes.,CAH: Blue Box Expansion,CAH Expansions
Seeing things from Hitler's perspective.,CAH: Blue Box Expansion,CAH Expansions
"September 11th, 2001.",CAH: Blue Box Expansion,CAH Expansions
Setting my balls on fire and cartwheeling to Ohio.,CAH: Blue Box Expansion,CAH Expansions
Shapes and colors.,CAH: Blue Box Expansion,CAH Expansions
Sharks with legs.,CAH: Blue Box Expansion,CAH Expansions
"Shitting all over the floor like a bad, bad girl.",CAH: Blue Box Expansion,CAH Expansions
Slowly easing down onto a cucumber.,CAH: Blue Box Expansion,CAH Expansions
"Smoking crack, for instance.",CAH: Blue Box Expansion,CAH Expansions
Snorting coke off a clown's boner.,CAH: Blue Box Expansion,CAH Expansions
Social justice warriors with flamethrowers of compassion.,CAH: Blue Box Expansion,CAH Expansions
Some shit-hot guitar licks.,CAH: Blue Box Expansion,CAH Expansions
Some sort of Asian.,CAH: Blue Box Expansion,CAH Expansions
Sports.,CAH: Blue Box Expansion,CAH Expansions
Storing a bunch of acorns in my pussy.,CAH: Blue Box Expansion,CAH Expansions
Stuffing a child's face with Fun Dip® until he starts having fun.,CAH: Blue Box Expansion,CAH Expansions
Stupid.,CAH: Blue Box Expansion,CAH Expansions
Such a big boy.,CAH: Blue Box Expansion,CAH Expansions
Sucking all the milk out of a yak.,CAH: Blue Box Expansion,CAH Expansions
Sudden penis loss.,CAH: Blue Box Expansion,CAH Expansions
Teaching a girl how to handjob the penis.,CAH: Blue Box Expansion,CAH Expansions
Texas.,CAH: Blue Box Expansion,CAH Expansions
The Abercrombie & Fitch lifestyle.,CAH: Blue Box Expansion,CAH Expansions
The all-new Nissan Pathfinder with 0.9% APR financing!,CAH: Blue Box Expansion,CAH Expansions
The amount of gay I am.,CAH: Blue Box Expansion,CAH Expansions
The basic suffering that pervades all of existence.,CAH: Blue Box Expansion,CAH Expansions
The best taquito in the galaxy.,CAH: Blue Box Expansion,CAH Expansions
The black half of Barack Obama.,CAH: Blue Box Expansion,CAH Expansions
"The color ""puce"".",CAH: Blue Box Expansion,CAH Expansions
The complex geopolitical quagmire that is the Middle East.,CAH: Blue Box Expansion,CAH Expansions
The dentist.,CAH: Blue Box Expansion,CAH Expansions
The eight gay warlocks who dictate the rules of fashion.,CAH: Blue Box Expansion,CAH Expansions
The eighth graders.,CAH: Blue Box Expansion,CAH Expansions
The euphoric rush of strangling a drifter.,CAH: Blue Box Expansion,CAH Expansions
The ghost of Marlon Brando.,CAH: Blue Box Expansion,CAH Expansions
The haunting stare of an Iraqi child.,CAH: Blue Box Expansion,CAH Expansions
The inability to form meaningful relationships.,CAH: Blue Box Expansion,CAH Expansions
The male gaze.,CAH: Blue Box Expansion,CAH Expansions
The passage of time.,CAH: Blue Box Expansion,CAH Expansions
The peaceful and nonthreatening rise of China.,CAH: Blue Box Expansion,CAH Expansions
The power of the Dark Side.,CAH: Blue Box Expansion,CAH Expansions
The right amount of cocaine.,CAH: Blue Box Expansion,CAH Expansions
The safe word.,CAH: Blue Box Expansion,CAH Expansions
The secret formula for ultimate female satisfaction.,CAH: Blue Box Expansion,CAH Expansions
The size of my penis.,CAH: Blue Box Expansion,CAH Expansions
The sweet song of sword against sword and the braying of mighty war beasts.,CAH: Blue Box Expansion,CAH Expansions
"The swim team, all at once.",CAH: Blue Box Expansion,CAH Expansions
The tiger that killed my father.,CAH: Blue Box Expansion,CAH Expansions
The tiniest shred of evidence that God is real.,CAH: Blue Box Expansion,CAH Expansions
The unbelievable world of mushrooms.,CAH: Blue Box Expansion,CAH Expansions
The white half of Barack Obama.,CAH: Blue Box Expansion,CAH Expansions
Three consecutive seconds of happiness.,CAH: Blue Box Expansion,CAH Expansions
Throwing stones at a man until he dies.,CAH: Blue Box Expansion,CAH Expansions
Too much cocaine.,CAH: Blue Box Expansion,CAH Expansions
Total fucking chaos.,CAH: Blue Box Expansion,CAH Expansions
Treasures beyond your wildest dreams.,CAH: Blue Box Expansion,CAH Expansions
Turning the rivers red with the blood of infidels.,CAH: Blue Box Expansion,CAH Expansions
Two whales fucking the shit out of each other.,CAH: Blue Box Expansion,CAH Expansions
Unquestioning obedience.,CAH: Blue Box Expansion,CAH Expansions
Unrelenting genital punishment.,CAH: Blue Box Expansion,CAH Expansions
Unsheathing my massive horse cock.,CAH: Blue Box Expansion,CAH Expansions
Vegetarian options.,CAH: Blue Box Expansion,CAH Expansions
Walking into a glass door.,CAH: Blue Box Expansion,CAH Expansions
Wearing glasses and sounding smart.,CAH: Blue Box Expansion,CAH Expansions
